v1	V(n001)	I(D1)
-7.969999999999942e-02	-7.970000e-02	-2.085999e-09
-7.959999999999942e-02	-7.960000e-02	-2.085040e-09
-7.949999999999942e-02	-7.950000e-02	-2.084079e-09
-7.939999999999942e-02	-7.940000e-02	-2.083116e-09
-7.929999999999941e-02	-7.930000e-02	-2.082150e-09
-7.919999999999941e-02	-7.920000e-02	-2.081183e-09
-7.909999999999941e-02	-7.910000e-02	-2.080213e-09
-7.899999999999940e-02	-7.900000e-02	-2.079241e-09
-7.889999999999940e-02	-7.890000e-02	-2.078267e-09
-7.879999999999940e-02	-7.880000e-02	-2.077291e-09
-7.869999999999940e-02	-7.870000e-02	-2.076313e-09
-7.859999999999939e-02	-7.860000e-02	-2.075332e-09
-7.849999999999939e-02	-7.850000e-02	-2.074350e-09
-7.839999999999939e-02	-7.840000e-02	-2.073365e-09
-7.829999999999938e-02	-7.830000e-02	-2.072378e-09
-7.819999999999938e-02	-7.820000e-02	-2.071389e-09
-7.809999999999938e-02	-7.810000e-02	-2.070397e-09
-7.799999999999938e-02	-7.800000e-02	-2.069404e-09
-7.789999999999937e-02	-7.790000e-02	-2.068408e-09
-7.779999999999937e-02	-7.780000e-02	-2.067410e-09
-7.769999999999937e-02	-7.770000e-02	-2.066410e-09
-7.759999999999936e-02	-7.760000e-02	-2.065408e-09
-7.749999999999936e-02	-7.750000e-02	-2.064403e-09
-7.739999999999936e-02	-7.740000e-02	-2.063396e-09
-7.729999999999936e-02	-7.730000e-02	-2.062387e-09
-7.719999999999935e-02	-7.720000e-02	-2.061376e-09
-7.709999999999935e-02	-7.710000e-02	-2.060363e-09
-7.699999999999935e-02	-7.700000e-02	-2.059347e-09
-7.689999999999934e-02	-7.690000e-02	-2.058329e-09
-7.679999999999934e-02	-7.680000e-02	-2.057309e-09
-7.669999999999934e-02	-7.670000e-02	-2.056286e-09
-7.659999999999934e-02	-7.660000e-02	-2.055262e-09
-7.649999999999933e-02	-7.650000e-02	-2.054235e-09
-7.639999999999933e-02	-7.640000e-02	-2.053205e-09
-7.629999999999933e-02	-7.630000e-02	-2.052174e-09
-7.619999999999932e-02	-7.620000e-02	-2.051140e-09
